label,source,target,id,Weight,Nature of Relationship,Weight_dynamic,Citation,size
Corporate,96,88,94,1.0,CGE Partnership is founded with Clinton Foundation,"<[2008.0, 2016.0, 1.0]>",http://www.cgepartnership.com/,1
Service,130,72,142,1.0,Quinn is a member of the CFR,"<[1.2365568E12, 1.479168E12, 1.0]>",https://www.academi.com/pages/about-us/board-of-directors/jack-quinn,1
Corporate,139,134,154,1.0,Paul recieved a priority loan at Countrywide,,http://en.wikipedia.org/wiki/Angelo_Mozilo#Friends_of_Angelo_.28FOA.29_VIP_program,1
Service,114,115,122,1.0,Jane Oates used to be a staffer for Kennedy,"<[6.31152E11, 1.2196188E12, 1.0]>",http://en.wikipedia.org/wiki/University_of_Phoenix,1
Corporate,137,144,171,1.0,Dodd oversaw the bailout then got thousans in donations from AIG,"<[1.1991456E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Chris_Dodd#Fannie_Mae.2FFreddie_Mac_controversies,1
Corporate,148,149,175,1.0,Tony Rodham works for GCFM,,http://web.archive.org/web/20110701134940/http://gulfcoastfunds.com/managementteam/TonyRodham.html,1
Service,67,72,58,1.0,Member of CFR,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Members_of_the_Council_on_Foreign_Relations,1
Corporate,51,53,19,1.0,Owner,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Corporate,67,96,92,1.0,Clinton was a founder of Clinton Giustra Enterprise Partnership,"<[2008.0, 2016.0, 1.0]>",http://www.cgepartnership.com/,1
Service,67,69,39,1.0,Clinton defeated Bush in 1992,"<[6.94224E11, 1.479168E12, 1.0]>",,1
Donor,80,66,70,1.0,Donated over 500k to Obama,"<[2008.0, 2016.0, 1.0]>",https://www.opensecrets.org/pres08/contrib.php?cid=N00009638,1
Service,58,9,74,1.0,Biden was Senator while Castle was Representing DE,"<[2008.0, 2016.0, 1.0]>",,1
Personal,133,9,146,1.0,Johnson was part of the team that chose Biden as VP,"<[1.1991456E12, 1.479168E12, 1.0]>",http://www.bloomberg.com/apps/news?pid=newsarchive&sid=aOyXeU0jfK_4&refer=home,1
Corporate,67,89,91,1.0,Clinton helped Guistra get exclusive mining rights in Kazakhstan,"<[2008.0, 2016.0, 1.0]>",http://www.nytimes.com/2008/01/31/us/politics/31donor.html?_r=0,1
Corporate,65,57,32,1.0,Policy Adviser at DLA Piper since December 2009,"<[1.2596256E12, 1.479168E12, 1.0]>",,1
Shell Money,47,28,12,1.0,Shell PAC,"<[2008.0, 2016.0, 1.0]>",,1
Service,67,68,40,1.0,Bush succedded Clinton in 2000,"<[9.466848E11, 1.479168E12, 1.0]>",,1
Corporate,50,11,15,1.0,"Lockheed Martin is incorporated and is the largest contractor in Maryland, O'Malley's home state where he was previously governor","<[2008.0, 2016.0, 1.0]>",,1
Corporate,57,56,22,1.0,DLA Piper hired Armey,"<[2008.0, 2016.0, 1.0]>",,1
Personal,138,135,151,1.0,Mozilo and Jackson are friends,,http://en.wikipedia.org/wiki/Angelo_Mozilo#Friends_of_Angelo_.28FOA.29_VIP_program,1
Corporate,140,134,162,1.0,Raines got preferred loans with countrywide for being friends with Mozilo,,http://www.wsj.com/articles/SB121279970984353933,1
Personal,116,117,125,1.0,Pelosi and Sperling are close friends,"<[6.31152E11, 1.479168E12, 1.0]>",http://books.google.co.uk/books/about/Degrees_of_Inequality.html?id=sTBIKRk1LJ4C&redir_esc=y,1
Personal,138,68,152,1.0,Bush and Jackson are friends,,http://en.wikipedia.org/wiki/Angelo_Mozilo#Friends_of_Angelo_.28FOA.29_VIP_program,1
Personal,140,66,160,1.0,Raines was an alleged council to Obama,"<[1.201824E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Franklin_Raines#Question_of_Raines_and_Obama_connection,1
Corporate,158,67,200,1.0,Clinton attended personal events at Osorio's residence prior to the 2008 election,,http://www.orlandosentinel.com/business/brinkmann-on-business/os-cnbc-tackles-claudio-osorio-jeb-bush-the-clintons-20150224-post.html,1
Corporate,56,55,21,1.0,Founder,"<[2008.0, 2016.0, 1.0]>",,1
Corporate,140,133,163,1.0,Raines and Jackson both gave advice to Obama and were in the countrywide scandal together,,Raines got preferred loans with countrywide for being friends with Mozilo,1
